impl,height,width,cin,cout,k,stride,padding,time_ms,gflops
tiled,256,256,32,32,3,1,1,1.44,838.95
naive,256,256,32,32,3,1,1,1.38,878.34
tiled,256,256,32,64,3,1,1,2.51,961.49
naive,256,256,32,64,3,1,1,2.57,941.03
tiled,256,256,32,128,3,1,1,5.69,848.90
naive,256,256,32,128,3,1,1,3.17,1526.19
tiled,512,512,32,32,3,1,1,4.26,1135.29
naive,512,512,32,32,3,1,1,8.92,541.61
tiled,512,512,32,64,3,1,1,6.51,1483.41
naive,512,512,32,64,3,1,1,11.22,861.58
tiled,512,512,32,128,3,1,1,13.17,1466.99
naive,512,512,32,128,3,1,1,22.41,862.49
tiled,1024,1024,32,32,3,1,1,13.10,1475.60
naive,1024,1024,32,32,3,1,1,22.95,842.07
tiled,1024,1024,32,64,3,1,1,26.19,1476.01
naive,1024,1024,32,64,3,1,1,45.91,842.03
tiled,1024,1024,32,128,3,1,1,53.11,1455.66
naive,1024,1024,32,128,3,1,1,91.78,842.34
