impl,batch,algo,verify,time_ms,full_gflops,workspace_bytes
baseline,32,implicit_gemm,PASS,0.11,251.84,0
fused,32,implicit_gemm,PASS,0.12,221.86,0
baseline,32,implicit_precomp,PASS,0.15,172.21,5760
fused,32,implicit_precomp,PASS,0.16,165.16,5760
baseline,32,fft,PASS,0.15,178.28,1671776
fused,32,fft,PASS,0.17,157.96,1671776
baseline,64,implicit_gemm,PASS,0.10,518.52,0
fused,64,implicit_gemm,PASS,0.11,471.26,0
baseline,64,implicit_precomp,PASS,0.18,292.60,5760
fused,64,implicit_precomp,PASS,0.20,271.92,5760
baseline,64,fft,PASS,0.15,353.65,3342944
fused,64,fft,PASS,0.17,322.76,3342944
baseline,128,implicit_gemm,PASS,0.13,799.59,0
fused,128,implicit_gemm,PASS,0.13,847.34,0
baseline,128,implicit_precomp,PASS,0.19,572.74,5760
fused,128,implicit_precomp,PASS,0.19,547.88,5760
baseline,128,fft,PASS,0.15,707.98,6685280
fused,128,fft,PASS,0.17,643.02,6685280
